text,intent
I am NOT happy. I was double charged on my last invoice.,Billing
<p>I am NOT happy. Can I get a refund for the extra charge?</p>,Billing
I was double charged on my last invoice.,Billing
I need a receipt for my recent purchase. Visit http://example.com for details.,Billing
My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
I am NOT happy. Why was I billed twice this month?,Billing
My payment failed but money was taken. Visit http://example.com for details.,Billing
My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
My payment failed but money was taken.,Billing
Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase. Visit http://example.com for details.,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
Can I get a refund for the extra charge? !!!,Billing
I was double charged on my last invoice.,Billing
Why was I billed twice this month? Visit http://example.com for details.,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I was double charged on my last invoice.,Billing
I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I am NOT happy. Why was I billed twice this month?,Billing
<p>I am NOT happy. My payment failed but money was taken.</p> !!!,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
I am NOT happy. I was double charged on my last invoice.,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken. Order #12345,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month?,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
I was double charged on my last invoice. Order #12345,Billing
Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase.,Billing
I am NOT happy. I was double charged on my last invoice.,Billing
Can I get a refund for the extra charge?,Billing
My payment failed but money was taken.,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I am NOT happy. I was double charged on my last invoice. Order #12345,Billing
I need a receipt for my recent purchase.,Billing
My payment failed but money was taken.,Billing
I need a receipt for my recent purchase. Order #12345,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I am NOT happy. Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I am NOT happy. My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
I am NOT happy. I was double charged on my last invoice.,Billing
I was double charged on my last invoice.,Billing
I was double charged on my last invoice. !!!,Billing
Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase.,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month?,Billing
I was double charged on my last invoice.,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken. Order #12345,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month? Order #12345,Billing
I was double charged on my last invoice.,Billing
Can I get a refund for the extra charge?,Billing
Can I get a refund for the extra charge?,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken. Visit http://example.com for details.,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
I need a receipt for my recent purchase.,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken.,Billing
<p>Why was I billed twice this month? Visit http://example.com for details.</p>,Billing
I need a receipt for my recent purchase. Visit http://example.com for details. Order #12345 !!!,Billing
My payment failed but money was taken. Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
I was double charged on my last invoice.,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. My payment failed but money was taken.,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
Why was I billed twice this month?,Billing
Can I get a refund for the extra charge?,Billing
My payment failed but money was taken. Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
I need a receipt for my recent purchase.,Billing
My payment failed but money was taken.,Billing
Can I get a refund for the extra charge?,Billing
<p>I was double charged on my last invoice.</p>,Billing
My payment failed but money was taken. Order #12345,Billing
<p>Why was I billed twice this month?</p>,Billing
I was double charged on my last invoice. Visit http://example.com for details.,Billing
Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
Can I get a refund for the extra charge?,Billing
My payment failed but money was taken.,Billing
I am NOT happy. My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase. Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase. Order #12345,Billing
I need a receipt for my recent purchase. Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
My payment failed but money was taken.,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
I am NOT happy. Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. Can I get a refund for the extra charge? !!!,Billing
Can I get a refund for the extra charge? Order #12345,Billing
My payment failed but money was taken.,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
Why was I billed twice this month?,Billing
I am NOT happy. I was double charged on my last invoice.,Billing
I was double charged on my last invoice.,Billing
I am NOT happy. My payment failed but money was taken.,Billing
I was double charged on my last invoice.,Billing
<p>Why was I billed twice this month? Visit http://example.com for details.</p>,Billing
My payment failed but money was taken.,Billing
<p>Why was I billed twice this month?</p>,Billing
I need a receipt for my recent purchase.,Billing
My payment failed but money was taken.,Billing
I am NOT happy. Can I get a refund for the extra charge? !!!,Billing
Why was I billed twice this month?,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
I am NOT happy. I need a receipt for my recent purchase. Order #12345,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. My payment failed but money was taken.,Billing
My payment failed but money was taken.,Billing
<p>I need a receipt for my recent purchase.</p>,Billing
Why was I billed twice this month? !!!,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
<p>I am NOT happy. I need a receipt for my recent purchase.</p>,Billing
Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
<p>I am NOT happy. Why was I billed twice this month? Visit http://example.com for details.</p>,Billing
My payment failed but money was taken.,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month?,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice. Order #12345,Billing
My payment failed but money was taken.,Billing
Can I get a refund for the extra charge?,Billing
I was double charged on my last invoice.,Billing
<p>I was double charged on my last invoice. Visit http://example.com for details.</p>,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
I am NOT happy. I was double charged on my last invoice.,Billing
I am NOT happy. Why was I billed twice this month? Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
Can I get a refund for the extra charge?,Billing
Can I get a refund for the extra charge?,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
I was double charged on my last invoice.,Billing
Why was I billed twice this month?,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
I need a receipt for my recent purchase.,Billing
<p>I am NOT happy. I was double charged on my last invoice.</p>,Billing
Why was I billed twice this month?,Billing
I am NOT happy. Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
I need a receipt for my recent purchase.,Billing
I am NOT happy. Can I get a refund for the extra charge?,Billing
I am NOT happy. I need a receipt for my recent purchase. Order #12345,Billing
My payment failed but money was taken.,Billing
Why was I billed twice this month?,Billing
<p>I am NOT happy. I need a receipt for my recent purchase.</p> Order #12345,Billing
I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
Why was I billed twice this month?,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken.,Billing
I was double charged on my last invoice.,Billing
Why was I billed twice this month?,Billing
I need a receipt for my recent purchase. Visit http://example.com for details.,Billing
I was double charged on my last invoice. Visit http://example.com for details. Order #12345,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
Why was I billed twice this month? Order #12345,Billing
Can I get a refund for the extra charge?,Billing
I was double charged on my last invoice.,Billing
I was double charged on my last invoice.,Billing
I need a receipt for my recent purchase.,Billing
I am NOT happy. I need a receipt for my recent purchase. Visit http://example.com for details.,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. Why was I billed twice this month?,Billing
I need a receipt for my recent purchase.,Billing
I am NOT happy. Can I get a refund for the extra charge? Order #12345,Billing
My payment failed but money was taken.,Billing
